,city,community,latitude,longitude,type,price,address,beds,sq_feet,baths,cats,dogs,utilities_included
3113,Calgary,Martindale,51.1215003,-113.9563247,Main Floor,2200,30 Martinvalley Way Northeast,3,,1.5,2,2,['See Full Description']
3114,Calgary,Windsor Park,51.004467,-114.080463,House,2200,728 55 Street SW,3,2000,2.5,0,0,['']
3115,Calgary,Bankview,51.03157767,-114.0959338,Condo Unit,2195,204 - 2602 14A Street Southwest,2,900,1,0,0,"['Water', 'Heat']"
3116,Calgary,Sage Hill,51.19107325,-114.1262827,Condo Unit,2140,Sage Hill Terrace NW,2+den,892,2,0,0,"['Water', 'Heat']"
3117,Calgary,Coventry Hills,51.1714905,-114.0533389,Townhouse,2200,227 - 227 Covecreek Circle Northeast,2+den,,2,0,0,['']
3118,Calgary,Harvest Hills,51.1453202,-114.0645534,House,2100,,3,,1,0,0,['']
3119,Calgary,Dalhousie,51.1024605,-114.148962,Townhouse,2200,,3,900,1.5,0,0,['See Full Description']
3120,Calgary,Beltline,51.0345823,-114.0793739,Townhouse,2100,7 St SW,2,973,1,2,2,"['Electricity', 'Water']"
3121,Calgary,Country Hills Village,51.1601606,-114.0567638,Apartment,2150,5 Country Village Park,2,,2,0,0,"['Heat', 'Water']"
3122,Calgary,Tuxedo Park,51.0739796,-114.0620692,Office Space,2217,#3 - 2400 Centre Street North,,,,,,
3123,Calgary,McKenzie Lake,50.9304107,-113.9785116,Main Floor,2100,66 Mount Aberdeen Grove Southeast,3,1019,1,2,0,['']
3124,Calgary,Huntington Hills,51.1160424,-114.0758222,Duplex,2100,7129 Hunterville Road Northwest,3,1500,1,0,0,['']
3125,Calgary,Seton,50.8653952,-113.9477492,Townhouse,2100,Seton Villas SE,2,1061,2.5,0,0,['']
3126,Calgary,Bowness,51.0924971,-114.2146537,Basement,2200,8711 34 Avenue Northwest,2+den,1250,1,0,2,['Internet']
3127,Calgary,Victoria Park,51.0401551,-114.0601539,Condo Unit,2200,211 13 Ave SE,2,900,2,0,0,"['Water', 'Heat']"
